ds,yhat,yhat_lower,yhat_upper
2023-06-06,6.440735281883923,5.429155451646093,7.440602307912999
2023-06-07,6.486787784880101,5.562115446532867,7.509300418884778
2023-06-09,6.551052632814238,5.451920478994669,7.522996948530542
2023-06-12,6.69093728531855,5.637452735806588,7.656920016130103
2023-06-13,6.75855749387658,5.752067805226044,7.7655951864183494
2023-06-14,6.809623748690958,5.788012545348295,7.885149524858822
2023-06-15,6.850552736971237,5.798952330516282,7.874378326360692
2023-06-16,6.872658856402751,5.8575516549835465,7.9346549346823325
2023-06-19,6.984125571878149,5.995104752479436,8.074555541738176
2023-06-20,7.036263741933094,5.957362868272154,7.961335316773886
2023-06-21,7.069536177812913,5.9996779906893,8.113426271910852
2023-06-22,7.090877216090017,6.13076661068981,8.088477663951602
2023-06-23,7.092168922306373,6.080481323533119,8.101230973366453
2023-06-26,7.139943627098854,6.0676330991131096,8.18445162407392
2023-06-27,7.172503239991405,6.138677515841007,8.203357034695538
2023-06-28,7.188015851739981,6.122715219048746,8.146785189266819
2023-06-29,7.1939530532619145,6.1615887289544125,8.164781756777035
2023-06-30,7.182674627336872,6.117816349128365,8.196496631622818
2023-07-03,7.2133681309385596,6.222523633835303,8.193935404077271
2023-07-04,7.247869046264831,6.184685246291011,8.185442428995215
2023-07-05,7.269272022311722,6.21363052142571,8.327189025072448
2023-07-06,7.284972493671005,6.266714993435933,8.244407313242148
2023-07-07,7.287151390434397,6.278749715223134,8.301793746448904
2023-07-10,7.377154784480973,6.353479191949594,8.367864723708262
2023-07-11,7.4362405422809035,6.453987964339717,8.462374515224719
2023-07-12,7.483714357855275,6.4650802553677424,8.497483851542633
2023-07-13,7.52634343241812,6.496148769071804,8.547413855314886
2023-07-14,7.555651510368177,6.576767323281261,8.563433725337438
2023-07-17,7.72158455588995,6.7855644250227565,8.709548474587525
2023-07-18,7.802026128744001,6.655948688503588,8.743311610929752
2023-07-19,7.8679096932245445,6.851816010120043,8.81885988201455
2023-07-20,7.925510547903218,6.938341053624302,8.897640407507186
2023-07-21,7.9637516669566555,7.038431900541612,9.030114603133926
2023-07-24,8.130575639171614,7.1053240876397625,9.135603703214288
2023-07-25,8.202241985204296,7.2070432654188,9.195958602969215
2023-07-26,8.254853549977465,7.258023397727691,9.298188232678196
2023-07-27,8.29486251029826,7.2234861065823175,9.324679911717366
2023-07-28,8.313651538704558,7.275206934024599,9.380993388175195
2023-07-31,8.401863503764577,7.440101550183116,9.374540383803174
2023-08-01,8.442270202917905,7.373427419825246,9.46632909462116
2023-08-02,8.462075984945514,7.495608221564608,9.476820157603532
2023-08-03,8.468372309708823,7.514243746897103,9.466587217124943
2023-08-04,8.453193410613409,7.474451383310305,9.514920805255953
2023-08-07,8.44434760881956,7.396551897661737,9.448397821968562
2023-08-08,8.45599444264405,7.406718883887596,9.491197628709187
2023-08-09,8.449704388363743,7.516891967417186,9.495786910443938
2023-08-10,8.432992721627656,7.372387217838858,9.422075444817892
2023-08-11,8.398240098307,7.409384469358015,9.463164170113235
2023-08-14,8.353460653749726,7.344959666936368,9.361868134612314
2023-08-15,8.361005629539495,7.3035058689208885,9.272298401762324
2023-08-16,8.3544689371421,7.30896439407225,9.339673401052325
2023-08-17,8.341188999187654,7.311293026976652,9.275275455588806
2023-08-18,8.31329300638948,7.1547643445001325,9.334605480291701
2023-08-21,8.306132275823366,7.407279499891834,9.29565404569637
2023-08-22,8.33048441297209,7.3600111500758425,9.35525945844947
2023-08-23,8.342097895284526,7.27959883264444,9.277389104328476
2023-08-24,8.347812962859324,7.339559336543312,9.34576599048294
2023-08-25,8.339260427529121,7.307504015855374,9.33668554627992
2023-08-28,8.38753379162428,7.310292233762401,9.371899067273148
2023-08-29,8.428103526066414,7.386179166558113,9.483250039852061
2023-08-30,8.454222465172432,7.52504157301868,9.45189263316948
2023-08-31,8.47246609798317,7.364127912722168,9.445348944575631
2023-09-01,8.474263702381187,7.483831260243134,9.474926888164395
2023-09-04,8.539491997014597,7.448506654239921,9.51267510525498
2023-09-05,8.581000835250256,7.637410854238346,9.621195596760932
2023-09-06,8.605850249392235,7.566938678034544,9.600473845149914
2023-09-08,8.617459466605451,7.652466220026496,9.636749107949075
2023-09-11,8.659106270012682,7.635396980227178,9.673959893087966
2023-09-12,8.691037247173384,7.6468190182768145,9.779359738365248
2023-09-13,8.705984462490006,7.747456497990353,9.709170950536425
2023-09-14,8.711012084936119,7.698010498153201,9.715624531059897
2023-09-15,8.698070290355947,7.654874213451777,9.737180821516365
2023-09-18,8.715312629834383,7.698102594971864,9.793018932241546
2023-09-19,8.741313046080563,7.75328238530262,9.796273774525812
2023-09-20,8.751697866739118,7.819442412133907,9.771376341529407
2023-09-21,8.753627376613316,7.780631712151506,9.819555365717946
2023-09-22,8.739104226386353,7.643035247807968,9.72998096566984
2023-09-25,8.760597180331626,7.780809201803351,9.726573115145488
2023-09-26,8.79078560990108,7.82233781292373,9.825859076525278
2023-09-27,8.80654821127104,7.8014405036254635,9.800218396920407
2023-09-28,8.814888712606898,7.836350693092325,9.804781453201263
2023-09-29,8.807634987665873,7.769004783885153,9.836596049661884
2023-10-02,8.854191076064458,7.891141244392311,9.84480227958096
2023-10-03,8.893178720825004,7.8790460842135435,9.834395109603392
2023-10-04,8.917657985694742,7.811226027406123,9.912048055195768
2023-10-05,8.93446880266153,7.9559203317956415,9.972686408051802
2023-10-06,8.935293569908858,7.897905782376523,9.951622182382822
2023-10-09,9.00260935204474,8.063300609119656,10.094076616545362
2023-10-10,9.047103600612791,8.058745917257582,10.06202722461759
2023-10-11,9.076316680856273,8.079536765985807,10.030993375032159
2023-10-13,9.101103950790774,8.196797703362286,10.09071446668049
2023-10-16,9.173857156733353,8.220624938703075,10.1560324281699
2023-10-17,9.21898284044459,8.191863428278532,10.235633538834893
2023-10-18,9.248356392337922,8.262365734535468,10.304574372005908
2023-10-19,9.268888467464881,8.272184432565114,10.28285355768676
2023-10-20,9.272350666226144,8.259556500762082,10.271464879854717
2023-10-23,9.342126165296763,8.375846415201812,10.36313462671422
